,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2021-01-04,370.22,376.82,366.16,376.69,7103724,366.5282885097,373.0624754909,362.508773488,372.9337718079,7103724,0.0,1.0
1,2021-01-05,372.67,373.83,369.44,369.44,4310505,368.9538579194,370.1022907827,365.7560664119,365.7560664119,4310505,0.0,1.0
2,2021-01-06,374.92,378.37,370.46,371.02,4343066,371.181421663,374.5970194031,366.765895309,367.3203111741,4343066,0.0,1.0
3,2021-01-07,380.47,381.26,377.28,377.4711,6051650,376.6760788971,377.4582012782,373.5178885229,373.7070829368,6051650,0.0,1.0
4,2021-01-08,382.64,382.86,378.49,382.01,3400271,378.8244403742,379.042246607,374.7158228028,378.200722526,3400271,0.0,1.0
5,2021-01-11,380.14,381.92,379.125,379.23,3365972,376.3493695481,378.1116199763,375.3444907926,375.4484437673,3365972,0.0,1.0
6,2021-01-12,380.2,381.23,377.77,380.2,3488632,376.4087712479,377.4285004283,374.0030024048,376.4087712479,3488632,0.0,1.0
7,2021-01-13,381.16,382.24,379.24,380.12,3764929,377.3591984451,378.4284290421,375.4583440506,376.3295689814,3764929,0.0,1.0
8,2021-01-14,379.84,382.53,379.43,381.96,7004309,376.0523610489,378.7155372579,375.6464494334,378.1512211095,7004309,0.0,1.0
9,2021-01-15,377.1,378.92,375.082,378.09,10182719,373.3396834234,375.1415349849,371.3418062525,374.3198114706,10182719,0.0,1.0
10,2021-01-19,380.05,380.61,378.15,379.73,7103186,376.2602669983,376.8146828634,374.3792131704,375.9434579326,7103186,0.0,1.0
11,2021-01-2,385.28,386.19,382.11,382.52,3431228,381.4381151667,382.3390409474,378.2997253591,378.7056369746,3431228,0.0,1.0
12,2021-01-21,385.62,386.3781,384.67,385.89,3556652,381.7747247991,382.5252652764,380.8341978851,382.0420324483,3556652,0.0,1.0
13,2021-01-22,384.31,385.5,383.255,383.73,3739827,380.4777876861,381.6559213994,379.4333077975,379.9035712545,3739827,0.0,1.0
14,2021-01-25,385.84,386.18,379.88,385.12,3890128,381.9925310318,382.3291406641,376.0919621821,381.2797106338,3890128,0.0,1.0
15,2021-01-26,385.27,387.2,385.0,386.81,2219242,381.4282148834,383.3389695612,381.1609072342,382.9528585123,2219242,0.0,1.0
16,2021-01-27,375.87,381.7,373.43,381.63,5592647,372.1219485769,377.8938137436,369.7062794505,377.8245117605,5592647,0.0,1.0
17,2021-01-28,379.05,383.34,377.3,377.76,5677790,375.2702386678,379.5174602056,373.5376890895,373.9931021215,5677790,0.0,1.0
18,2021-01-29,371.52,378.01,369.65,377.06,5001516,367.8153253393,374.2406092041,365.9639723613,373.3000822902,5001516,0.0,1.0
