,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2021-06-16,8.31e-06,9.29e-06,8.14e-06,8.73e-06,19067976443837.0,8.31e-06,9.29e-06,8.14e-06,8.73e-06,19067976443837.0,0.0,1.0
1,2021-06-17,7.95e-06,8.5e-06,7.72e-06,8.32e-06,27332636174158.0,7.95e-06,8.5e-06,7.72e-06,8.32e-06,27332636174158.0,0.0,1.0
2,2021-06-18,7.26e-06,7.98e-06,7e-06,7.95e-06,22859323282277.0,7.26e-06,7.98e-06,7e-06,7.95e-06,22859323282277.0,0.0,1.0
3,2021-06-19,7.62e-06,8.49e-06,7.19e-06,7.26e-06,33512449142630.0,7.62e-06,8.49e-06,7.19e-06,7.26e-06,33512449142630.0,0.0,1.0
4,2021-06-2,7.78e-06,8.07e-06,7.11e-06,7.63e-06,22485281516224.0,7.78e-06,8.07e-06,7.11e-06,7.63e-06,22485281516224.0,0.0,1.0
5,2021-06-21,6.19e-06,7.81e-06,6.12e-06,7.78e-06,26942395939149.0,6.19e-06,7.81e-06,6.12e-06,7.78e-06,26942395939149.0,0.0,1.0
6,2021-06-22,6.33e-06,7e-06,5.59e-06,6.19e-06,29577514847900.0,6.33e-06,7e-06,5.59e-06,6.19e-06,29577514847900.0,0.0,1.0
7,2021-06-23,6.84e-06,7.11e-06,6.09e-06,6.33e-06,20005417366599.0,6.84e-06,7.11e-06,6.09e-06,6.33e-06,20005417366599.0,0.0,1.0
8,2021-06-24,7.21e-06,7.45e-06,6.56e-06,6.83e-06,14589082651691.0,7.21e-06,7.45e-06,6.56e-06,6.83e-06,14589082651691.0,0.0,1.0
9,2021-06-25,7.07e-06,8.5e-06,6.72e-06,7.21e-06,40190298234531.0,7.07e-06,8.5e-06,6.72e-06,7.21e-06,40190298234531.0,0.0,1.0
10,2021-06-26,7.48e-06,7.55e-06,6.91e-06,7.06e-06,21149053906822.0,7.48e-06,7.55e-06,6.91e-06,7.06e-06,21149053906822.0,0.0,1.0
11,2021-06-27,7.85e-06,7.89e-06,7.27e-06,7.47e-06,11721162336381.0,7.85e-06,7.89e-06,7.27e-06,7.47e-06,11721162336381.0,0.0,1.0
12,2021-06-28,8.08e-06,8.21e-06,7.58e-06,7.85e-06,18168310423015.0,8.08e-06,8.21e-06,7.58e-06,7.85e-06,18168310423015.0,0.0,1.0
13,2021-06-29,8.84e-06,9.63e-06,8.03e-06,8.08e-06,43766969340630.0,8.84e-06,9.63e-06,8.03e-06,8.08e-06,43766969340630.0,0.0,1.0
14,2021-06-3,8.82e-06,9.23e-06,8.01e-06,8.83e-06,31380946184961.0,8.82e-06,9.23e-06,8.01e-06,8.83e-06,31380946184961.0,0.0,1.0
15,2021-07-01,8.34e-06,8.83e-06,8.15e-06,8.82e-06,14665151400652.0,8.34e-06,8.83e-06,8.15e-06,8.82e-06,14665151400652.0,0.0,1.0
16,2021-07-02,8.35e-06,8.44e-06,8.06e-06,8.33e-06,5963945327684.0,8.35e-06,8.44e-06,8.06e-06,8.33e-06,5963945327684.0,0.0,1.0
17,2021-07-03,8.66e-06,8.8e-06,8.3e-06,8.36e-06,10949013365272.0,8.66e-06,8.8e-06,8.3e-06,8.36e-06,10949013365272.0,0.0,1.0
18,2021-07-04,8.73e-06,8.95e-06,8.45e-06,8.66e-06,9960464862681.0,8.73e-06,8.95e-06,8.45e-06,8.66e-06,9960464862681.0,0.0,1.0
19,2021-07-05,8.34e-06,8.73e-06,8.16e-06,8.72e-06,11110965004737.0,8.34e-06,8.73e-06,8.16e-06,8.72e-06,11110965004737.0,0.0,1.0
20,2021-07-06,8.74e-06,9.33e-06,8.31e-06,8.33e-06,23399597894959.0,8.74e-06,9.33e-06,8.31e-06,8.33e-06,23399597894959.0,0.0,1.0
21,2021-07-07,8.55e-06,8.96e-06,8.52e-06,8.74e-06,10637369307168.0,8.55e-06,8.96e-06,8.52e-06,8.74e-06,10637369307168.0,0.0,1.0
22,2021-07-08,8.02e-06,8.56e-06,7.78e-06,8.54e-06,14210333489692.0,8.02e-06,8.56e-06,7.78e-06,8.54e-06,14210333489692.0,0.0,1.0
23,2021-07-09,7.91e-06,8.1e-06,7.7e-06,8.03e-06,8928857134302.0,7.91e-06,8.1e-06,7.7e-06,8.03e-06,8928857134302.0,0.0,1.0
24,2021-07-1,7.67e-06,8.09e-06,7.52e-06,7.92e-06,7191309903247.0,7.67e-06,8.09e-06,7.52e-06,7.92e-06,7191309903247.0,0.0,1.0
25,2021-07-11,7.86e-06,7.98e-06,7.56e-06,7.67e-06,5477259955862.0,7.86e-06,7.98e-06,7.56e-06,7.67e-06,5477259955862.0,0.0,1.0
26,2021-07-12,7.56e-06,7.99e-06,7.31e-06,7.87e-06,7734638319417.0,7.56e-06,7.99e-06,7.31e-06,7.87e-06,7734638319417.0,0.0,1.0
27,2021-07-13,7.11e-06,7.59e-06,7.04e-06,7.56e-06,8108609831266.0,7.11e-06,7.59e-06,7.04e-06,7.56e-06,8108609831266.0,0.0,1.0
28,2021-07-14,7.24e-06,7.57e-06,6.72e-06,7.12e-06,11554762737245.0,7.24e-06,7.57e-06,6.72e-06,7.12e-06,11554762737245.0,0.0,1.0
29,2021-07-15,6.91e-06,7.37e-06,6.79e-06,7.24e-06,8791440403414.0,6.91e-06,7.37e-06,6.79e-06,7.24e-06,8791440403414.0,0.0,1.0
30,2021-07-16,6.62e-06,7e-06,6.55e-06,6.9e-06,6034797305648.0,6.62e-06,7e-06,6.55e-06,6.9e-06,6034797305648.0,0.0,1.0
31,2021-07-17,6.81e-06,7.05e-06,6.56e-06,6.63e-06,7114435611225.0,6.81e-06,7.05e-06,6.56e-06,6.63e-06,7114435611225.0,0.0,1.0
32,2021-07-18,6.64e-06,7.03e-06,6.6e-06,6.82e-06,6063743245998.0,6.64e-06,7.03e-06,6.6e-06,6.82e-06,6063743245998.0,0.0,1.0
33,2021-07-19,6.19e-06,6.67e-06,6.07e-06,6.65e-06,8139312488055.0,6.19e-06,6.67e-06,6.07e-06,6.65e-06,8139312488055.0,0.0,1.0
34,2021-07-2,5.89e-06,6.24e-06,5.71e-06,6.19e-06,9636030190265.0,5.89e-06,6.24e-06,5.71e-06,6.19e-06,9636030190265.0,0.0,1.0
35,2021-07-21,6.54e-06,6.98e-06,5.77e-06,5.89e-06,14097381778140.0,6.54e-06,6.98e-06,5.77e-06,5.89e-06,14097381778140.0,0.0,1.0
