,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2021-01-04,368.79,375.45,364.82,375.31,110210810,365.1876293058,371.7825738845,361.2564085884,371.6439414158,110210810,0.0,1.0
1,2021-01-05,371.33,372.5,368.05,368.1,66426229,367.7028183793,368.8613897242,364.4548576859,364.5043692818,66426229,0.0,1.0
2,2021-01-06,373.55,376.98,369.12,369.71,107997675,369.9011332389,373.2976287201,365.5144058389,366.098642671,107997675,0.0,1.0
3,2021-01-07,379.1,379.9,375.91,376.1,68766812,375.3969203878,376.1891059228,372.2380805671,372.4262246316,68766812,0.0,1.0
4,2021-01-08,381.26,381.49,377.1,380.59,71677208,377.5358213322,377.7635746735,373.4164565503,376.8723659467,71677208,0.0,1.0
5,2021-01-11,378.69,380.58,377.7189,377.85,51176719,374.9909253011,376.8624636275,374.0293110848,374.1591304894,51176719,0.0,1.0
6,2021-01-12,378.77,379.86,376.36,378.89,51440114,375.0701438546,376.149496646,372.6836849305,375.1889716849,51440114,0.0,1.0
7,2021-01-13,379.79,380.86,377.85,378.69,45303619,376.0801804117,377.1397285647,374.1591304894,374.9909253011,45303619,0.0,1.0
8,2021-01-14,378.46,381.13,378.1,380.59,49989113,374.7631719598,377.4070911828,374.4066884691,376.8723659467,49989113,0.0,1.0
9,2021-01-15,375.7,377.58,373.7,376.72,107159962,372.0301318641,373.8917678713,370.0496680267,373.0401684212,107159962,0.0,1.0
10,2021-01-19,378.65,379.23,376.75,378.34,51233300,374.9513160244,375.5256505372,373.0698753788,374.6443441296,51233300,0.0,1.0
11,2021-01-2,383.89,384.79,380.69,381.11,61836062,380.1401312785,381.0313400053,376.9713891386,377.3872865444,61836062,0.0,1.0
12,2021-01-21,384.24,384.95,383.25,384.49,47955809,380.48671245,381.1897771123,379.5063828505,380.7342704297,47955809,0.0,1.0
13,2021-01-22,382.88,384.1256,381.835,382.25,52136931,379.1399970406,380.3734299185,378.1052046855,378.5161509318,52136931,0.0,1.0
14,2021-01-25,384.39,384.77,378.46,383.67,70401971,380.6352472378,381.011535367,374.7631719598,379.9222802564,70401971,0.0,1.0
15,2021-01-26,383.79,385.85,383.54,385.41,42665281,380.0411080866,382.0809858392,379.7935501069,381.6452837949,42665281,0.0,1.0
16,2021-01-27,374.41,380.32,372.01,380.22,123351078,370.752732689,376.6050033286,368.376176084,376.5059801368,123351078,0.0,1.0
17,2021-01-28,377.63,381.93,375.89,376.36,94198104,373.9412794673,378.1992767178,372.2182759287,372.6836849305,94198104,0.0,1.0
18,2021-01-29,370.07,376.67,368.27,375.63,126765121,366.4551261617,372.9906568253,364.672708708,371.9608156298,126765121,0.0,1.0
19,2021-02-01,376.23,377.34,370.376,373.72,75817597,372.5549547811,373.6541122108,366.7581371289,370.0694726651,75817597,0.0,1.0
20,2021-02-02,381.55,383.22,376.3181,379.65,62923781,377.8229885887,379.4766758929,372.6421942131,375.9415479431,62923781,0.0,1.0
21,2021-02-03,381.85,383.7,380.48,382.435,52427090,378.1200581643,379.9519872139,376.7634404356,378.6993438367,52427090,0.0,1.0
22,2021-02-04,386.19,386.24,381.9655,382.96,47142555,382.4176646915,382.4671762875,378.2344299509,379.2192155941,47142555,0.0,1.0
23,2021-02-05,387.71,388.47,386.1444,388.2,48669773,383.922817208,384.6753934662,382.372510116,384.4080308482,48669773,0.0,1.0
24,2021-02-08,390.51,390.56,388.35,389.27,38365185,386.6954665804,386.7449781764,384.556565636,385.4675790012,38365185,0.0,1.0
25,2021-02-09,390.25,390.89,389.17,389.61,34142633,386.4380062816,387.0717547095,385.3685558093,385.8042578536,34142633,0.0,1.0
26,2021-02-1,390.08,392.28,387.5,392.12,58362935,386.2696668554,388.4481770766,383.7148685051,388.2897399696,58362935,0.0,1.0
27,2021-02-11,390.71,391.69,388.1,391.24,42913288,386.8935129642,387.8639402445,384.3090076563,387.4183358811,42913288,0.0,1.0
28,2021-02-12,392.64,392.9,389.77,389.85,50593270,388.8046605673,389.0621208662,385.9626949606,386.0419135141,50593270,0.0,1.0
29,2021-02-16,392.3,394.17,391.53,393.96,50972366,388.4679817149,390.3197154029,387.7055031375,390.1117667,50972366,0.0,1.0
30,2021-02-17,392.39,392.66,389.33,390.42,51746878,388.5571025876,388.8244652057,385.5269929163,386.6063457077,51746878,0.0,1.0
31,2021-02-18,390.72,391.515,387.74,389.59,59712773,386.9034152834,387.6906496587,383.9525241656,385.7844532152,59712773,0.0,1.0
32,2021-02-19,390.03,392.38,389.55,392.07,83240971,386.2201552594,388.5472002684,385.7448439384,388.2402283736,83240971,0.0,1.0
33,2021-02-22,387.03,389.62,386.74,387.06,66517089,383.2494595033,385.8141601728,382.9622922468,383.2791664608,66517089,0.0,1.0
34,2021-02-23,387.5,388.945,380.2,384.66,107284127,383.7148685051,385.1457536276,376.4861754984,380.9026098559,107284127,0.0,1.0
35,2021-02-24,391.77,392.23,385.27,386.33,72433946,387.943158798,388.3986654806,381.5066513263,382.5562971602,72433946,0.0,1.0
36,2021-02-25,382.33,391.88,380.7789,390.41,144712701,378.5953694853,388.0520843091,377.0594207561,386.5964433885,144712701,0.0,1.0
37,2021-02-26,380.36,385.58,378.23,384.35,149530614,376.6446126054,381.8136232211,374.5354186185,380.5956379611,149530614,0.0,1.0
38,2021-03-01,389.58,390.92,380.572,385.59,105348798,385.774550896,387.1014616671,376.8545417722,381.8235255403,105348798,0.0,1.0
39,2021-03-02,386.54,390.07,386.0,389.82,79595332,382.7642458631,386.2597645362,382.229520627,386.0122065565,79595332,0.0,1.0
40,2021-03-03,381.42,386.83,381.31,385.79,119940211,377.6942584392,383.0514131195,377.5853329282,382.021571924,119940211,0.0,1.0
41,2021-03-04,376.7,384.0,371.88,381.22,183433020,373.0203637829,380.2490567895,368.2474459346,377.4962120555,183433020,0.0,1.0
42,2021-03-05,383.63,384.76,372.64,380.46,152039624,379.8826709796,381.0016330478,369.0000221928,376.7436357973,152039624,0.0,1.0
43,2021-03-08,381.72,387.68,381.42,384.66,123149245,377.9913280148,383.8931102504,377.6942584392,380.9026098559,123149245,0.0,1.0
44,2021-03-09,387.17,389.91,381.7299,385.85,113633556,383.3880919719,386.1013274292,378.0011313108,382.0809858392,113633556,0.0,1.0
45,2021-03-1,389.58,391.4,388.1702,389.69,109899410,385.774550896,387.5767729881,384.378521937,385.8834764071,109899410,0.0,1.0
46,2021-03-11,393.53,395.65,391.74,392.23,86245040,389.685966975,391.7852586427,387.9134518404,388.3986654806,86245040,0.0,1.0
47,2021-03-12,394.06,394.21,391.2,392.07,64653565,390.2107898919,390.3593246797,387.3787266043,388.2402283736,64653565,0.0,1.0
48,2021-03-15,396.41,396.685,392.03,394.33,73592302,392.5378349009,392.8101486785,388.2006190969,390.4781525099,73592302,0.0,1.0
49,2021-03-16,395.91,397.83,395.08,397.07,73722506,392.0427189415,393.9439642255,391.220826449,393.1913879672,73722506,0.0,1.0
50,2021-03-17,397.26,398.12,393.3,394.53,97959265,393.3795320318,394.2311314819,389.4582136337,390.6761988937,97959265,0.0,1.0
51,2021-03-18,391.48,396.72,390.75,394.475,115349101,387.6559915416,392.8448067957,386.9331222409,390.6217361382,115349101,0.0,1.0
52,2021-03-19,389.48,391.569,387.15,389.88,113624490,386.9408341671,389.0162151946,384.6260243088,387.3382264174,113624490,1.277788,1.0
53,2021-03-22,392.59,394.07,389.97,390.03,73778646,390.0305589136,391.5009102399,387.4276396738,387.4872485113,73778646,0.0,1.0
54,2021-03-23,389.5,393.46,388.66,391.91,90686552,386.9607037796,390.8948870581,386.1261800539,389.354992088,90686552,0.0,1.0
55,2021-03-24,387.52,392.75,387.47,391.0,97588644,384.9936121404,390.1895158137,384.9439381091,388.4509247184,97588644,0.0,1.0
56,2021-03-25,389.7,390.55,383.9,385.98,116128622,387.1593999048,388.0038584368,381.3972122747,383.4636519765,116128622,0.0,1.0
57,2021-03-26,395.98,396.41,390.29,390.93,114409114,393.3984582353,393.8256549044,387.7455534741,388.3813810746,114409114,0.0,1.0
58,2021-03-29,395.78,396.75,392.81,394.4,108107626,393.1997621101,394.1634383172,390.2491246513,391.8287588464,108107626,0.0,1.0
59,2021-03-3,394.73,395.45,393.02,394.42,76262249,392.156607453,392.8719135036,390.4577555827,391.8486284589,76262249,0.0,1.0
60,2021-03-31,396.33,398.0,395.31,395.34,112734214,393.7461764544,395.4052890996,392.732826216,392.7626306347,112734214,0.0,1.0
61,2021-04-01,400.61,400.67,398.18,398.4,99682876,397.9982735331,398.0578823707,395.5841156122,395.8026813499,99682876,0.0,1.0
62,2021-04-05,406.36,406.94,403.38,403.46,91684764,403.7107871319,404.2870058949,400.7502148668,400.8296933169,91684764,0.0,1.0
63,2021-04-06,406.12,407.24,405.4,405.76,62020953,403.4723517817,404.5850500827,402.7570457311,403.1146987564,62020953,0.0,1.0
64,2021-04-07,406.59,406.96,405.45,405.94,55836280,403.9392876759,404.3068755074,402.8067197624,403.2935252691,55836280,0.0,1.0
65,2021-04-08,408.52,408.58,406.93,407.93,57863114,405.8567052838,405.9163141214,404.2770710887,405.2705517146,57863114,0.0,1.0
66,2021-04-09,411.49,411.67,408.26,408.39,61104559,408.8073427427,408.9861692553,405.5984003211,405.7275528025,61104559,0.0,1.0
67,2021-04-12,411.64,411.93,410.2,410.85,56704899,408.9563648366,409.2444742181,407.5257527353,408.1715151421,56704899,0.0,1.0
68,2021-04-13,412.86,413.529,411.12,411.53,56550988,410.1684112001,410.8330497388,408.4397549111,408.8470819677,56550988,0.0,1.0
69,2021-04-14,411.45,413.96,410.87,412.83,61659907,408.7676035176,411.2612398886,408.1913847546,410.1386067814,61659907,0.0,1.0
70,2021-04-15,415.87,416.16,413.69,413.74,60229842,413.158787884,413.4468972655,410.9930001196,411.0426741509,60229842,0.0,1.0
