,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2021-01-04,56.57,56.57,56.57,56.57,0,56.57,56.57,56.57,56.57,0,0.0,1.0
1,2021-01-05,56.98,56.98,56.98,56.98,0,56.98,56.98,56.98,56.98,0,0.0,1.0
2,2021-01-06,57.31,57.31,57.31,57.31,0,57.31,57.31,57.31,57.31,0,0.0,1.0
3,2021-01-07,58.17,58.17,58.17,58.17,0,58.17,58.17,58.17,58.17,0,0.0,1.0
4,2021-01-08,58.5,58.5,58.5,58.5,0,58.5,58.5,58.5,58.5,0,0.0,1.0
5,2021-01-11,58.11,58.11,58.11,58.11,0,58.11,58.11,58.11,58.11,0,0.0,1.0
6,2021-01-12,58.14,58.14,58.14,58.14,0,58.14,58.14,58.14,58.14,0,0.0,1.0
7,2021-01-13,58.27,58.27,58.27,58.27,0,58.27,58.27,58.27,58.27,0,0.0,1.0
8,2021-01-14,58.06,58.06,58.06,58.06,0,58.06,58.06,58.06,58.06,0,0.0,1.0
9,2021-01-15,57.64,57.64,57.64,57.64,0,57.64,57.64,57.64,57.64,0,0.0,1.0
10,2021-01-19,58.11,58.11,58.11,58.11,0,58.11,58.11,58.11,58.11,0,0.0,1.0
11,2021-01-2,58.92,58.92,58.92,58.92,0,58.92,58.92,58.92,58.92,0,0.0,1.0
12,2021-01-21,58.95,58.95,58.95,58.95,0,58.95,58.95,58.95,58.95,0,0.0,1.0
13,2021-01-22,58.77,58.77,58.77,58.77,0,58.77,58.77,58.77,58.77,0,0.0,1.0
14,2021-01-25,58.98,58.98,58.98,58.98,0,58.98,58.98,58.98,58.98,0,0.0,1.0
15,2021-01-26,58.89,58.89,58.89,58.89,0,58.89,58.89,58.89,58.89,0,0.0,1.0
16,2021-01-27,57.38,57.38,57.38,57.38,0,57.38,57.38,57.38,57.38,0,0.0,1.0
17,2021-01-28,57.95,57.95,57.95,57.95,0,57.95,57.95,57.95,57.95,0,0.0,1.0
18,2021-01-29,56.84,56.84,56.84,56.84,0,56.84,56.84,56.84,56.84,0,0.0,1.0
19,2021-02-01,57.75,57.75,57.75,57.75,0,57.75,57.75,57.75,57.75,0,0.0,1.0
20,2021-02-02,58.55,58.55,58.55,58.55,0,58.55,58.55,58.55,58.55,0,0.0,1.0
21,2021-02-03,58.61,58.61,58.61,58.61,0,58.61,58.61,58.61,58.61,0,0.0,1.0
22,2021-02-04,59.26,59.26,59.26,59.26,0,59.26,59.26,59.26,59.26,0,0.0,1.0
23,2021-02-05,59.49,59.49,59.49,59.49,0,59.49,59.49,59.49,59.49,0,0.0,1.0
