,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2021-01-04,339.03,345.09,335.37,345.02,5402614,336.71665808,342.7353081935,333.0816317739,342.6657858325,5402614,0.0,1.0
1,2021-01-05,341.26,342.39,338.39,338.4,3299716,338.9314418677,340.0537314103,336.0810250648,336.0909568306,3299716,0.0,1.0
2,2021-01-06,343.33,346.5,339.3,339.79,4804950,340.9873174015,344.1356871803,336.9848157584,337.4714722857,4804950,0.0,1.0
3,2021-01-07,348.46,349.2,345.54,345.74,3638857,346.0823132896,346.8172639635,343.1822376574,343.3808729746,3638857,0.0,1.0
4,2021-01-08,350.42,350.619,346.64,349.88,3758462,348.0289393989,348.2265815396,344.2747319024,347.4926240423,3758462,0.0,1.0
5,2021-01-11,348.13,349.82,347.202,347.36,2987858,345.7545650161,347.4330334471,344.8328971439,344.9898190446,2987858,0.0,1.0
6,2021-01-12,348.16,349.15,345.97,348.3,2291537,345.7843603137,346.7676051342,343.6093035895,345.9234050358,2291537,0.0,1.0
7,2021-01-13,349.03,350.06,347.32,348.11,3039926,346.6484239438,347.6713958278,344.9500919811,345.7347014844,3039926,0.0,1.0
8,2021-01-14,347.85,350.3183,347.55,349.85,3497443,345.4764755719,347.9279333401,345.178522596,347.4628287447,3497443,0.0,1.0
9,2021-01-15,345.37,347.06,343.53,346.27,3622148,343.0133976377,344.6918660687,341.1859527187,343.9072565654,3622148,0.0,1.0
10,2021-01-19,348.1,348.587,346.36,347.8,3433790,345.7247697185,346.2084467161,343.9966424582,345.4268167426,3433790,0.0,1.0
11,2021-01-2,352.83,353.71,349.97,350.32,2920573,350.4224949721,351.2964903681,347.582009935,347.9296217403,2920573,0.0,1.0
12,2021-01-21,353.16,353.835,352.302,353.46,2582562,350.7502432456,351.4206374414,349.8980977345,351.0481962215,2582562,0.0,1.0
13,2021-01-22,351.9,353.04,350.99,351.38,1812174,349.4988407467,350.6310620552,348.5950500531,348.9823889218,1812174,0.0,1.0
14,2021-01-25,353.33,353.6814,347.97,352.71,3548997,350.9190832653,351.2680855177,345.5956567623,350.3033137817,3548997,0.0,1.0
15,2021-01-26,352.8,354.645,352.6,354.23,2430244,350.3926996745,352.2251104763,350.1940643572,351.812942193,2430244,0.0,1.0
16,2021-01-27,344.24,349.56,341.99,349.54,5010372,341.8911080951,347.1748075346,339.6564607757,347.1549440029,5010372,0.0,1.0
17,2021-01-28,347.13,351.0707,345.58,345.97,3432188,344.7613884297,348.6751994037,343.2219647208,343.6093035895,3432188,0.0,1.0
18,2021-01-29,340.18,346.22,338.57,345.31,5803647,337.8588111544,343.8575977361,336.2597968503,342.9538070425,5803647,0.0,1.0
19,2021-02-01,345.77,346.85,341.4,343.63,3334009,343.4106682722,344.4832989855,339.0704865898,341.2852703774,3334009,0.0,1.0
20,2021-02-02,350.74,352.34,349.0,349.05,2909313,348.3467559065,349.9358384447,346.6186286462,346.6682874756,2909313,0.0,1.0
21,2021-02-03,351.09,352.8,349.88,351.7,3392809,348.6943677118,350.3926996745,347.4926240423,349.3002054295,3392809,0.0,1.0
22,2021-02-04,355.02,355.04,351.92,352.12,1988342,352.5975516962,352.617415228,349.5187042785,349.7173395957,1988342,0.0,1.0
23,2021-02-05,356.44,357.1312,355.316,356.9,2091756,354.0078624489,354.6943461054,352.8915319658,354.4647236786,2091756,0.0,1.0
24,2021-02-08,359.07,359.07,357.06,357.92,3371070,356.6199168711,356.6199168711,354.6236319325,355.4777637967,3371070,0.0,1.0
